trait_id,source_type,source_id,source_file,game_version,steam_build
ApolloWeaponBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ArcanaRarityTrait,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
AresCastBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresExCastBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresManaBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresSpecialBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresSprintBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresStatusDoubleDamageBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AresWeaponBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
ArmorBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
ArmorGainKeepsake,unit,NPC_Arachne_01,NPCData_Arachne.lua,1.139672,24556151
ArmorPenaltyCurse,unit,NPC_Medea_01,NPCData_Medea.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,NPC_Arachne_01,NPCData_Arachne.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
AthenaEncounterKeepsake,unit,NPC_Hecate_01,NPCData_Hecate.lua,1.139672,24556151
AthenaProjectileBoon,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
AutoRevengeBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AutoRevengeBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
AxeArmCastAspect,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
AxeArmCastAspect,unit,NPC_Charon_01,NPCData_Charon.lua,1.139672,24556151
AxeArmorTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeAttackRecoveryTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeBlockEmpowerTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeChargedSpecialTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeDashAttackTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeFreeSpinTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeMassiveThirdStrikeTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxePerfectCriticalAspect,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AxePerfectCriticalAspect,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
AxePerfectCriticalAspect,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
AxePerfectCriticalAspect,loot,SpellDrop,LootData_Selene.lua,1.139672,24556151
AxePerfectCriticalAspect,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,NPC_Charon_01,NPCData_Charon.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,NPC_Heracles_01,NPCData_Heracles.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,NPC_Hypnos_DreamRun,NPCData_Hypnos.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,NPC_Nyx_Story_01,NPCData.lua,1.139672,24556151
AxePerfectCriticalAspect,unit,Zagreus,EnemyData_Zagreus.lua,1.139672,24556151
AxeRallyAspect,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
AxeRallyAspect,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
AxeRallyAspect,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
AxeRallyAspect,loot,SpellDrop,LootData_Selene.lua,1.139672,24556151
AxeRallyAspect,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeRallyAspect,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
AxeRallyAspect,unit,NPC_Charon_01,NPCData_Charon.lua,1.139672,24556151
AxeRallyAspect,unit,NPC_Heracles_01,NPCData_Heracles.lua,1.139672,24556151
AxeRallyAspect,unit,Zagreus,EnemyData_Zagreus.lua,1.139672,24556151
AxeRallyFirstStrikeTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeRallyFrenzyTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeRangedWhirlwindTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeSecondStageTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeSpinSpeedTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeSturdyTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
AxeThirdStrikeTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
BankBoon,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
BlindChanceBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
BlindClearBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
BlindClearBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
BlockDeathKeepsake,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
BlockDeathKeepsake,unit,Eris,EnemyData_Eris.lua,1.139672,24556151
BlockDeathKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
BlockDeathKeepsake,unit,NPC_Moros_01,NPCData_Moros.lua,1.139672,24556151
BloodDropRevengeBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
BloodManaBurstBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
BloodManaBurstBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
BloodRetentionBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
BloodRetentionBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
BoltRetaliateBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
BonusMoneyKeepsake,unit,NPC_Charon_01,NPCData_Charon.lua,1.139672,24556151
BoonDecayBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
BoonGrowthBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
BossMetaUpgradeKeepsake,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
BossMetaUpgradeKeepsake,unit,NPC_Medea_01,NPCData_Medea.lua,1.139672,24556151
BossPreDamageKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
BossPreDamageKeepsake,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
BossPreDamageKeepsake,unit,NPC_Odysseus_01,NPCData_Odysseus.lua,1.139672,24556151
BossPreDamageKeepsake,unit,Polyphemus,EnemyData_Polyphemus.lua,1.139672,24556151
BossPreDamageKeepsake,unit,Scylla,EnemyData_Scylla.lua,1.139672,24556151
BreakExplosiveArmorBoon,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
BreakInvincibleArmorBoon,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
BurnArmorBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
BurnConsumeBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
BurnConsumeBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
BurnExplodeBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
BurnRefreshBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
BurnRefreshBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
BurnSprintBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
BurnStackBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
CastAnywhereBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
CastAttachBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
CastDamageCostume,unit,NPC_Arachne_01,NPCData_Arachne.lua,1.139672,24556151
CastHazardBoon,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
CastLobBoon,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
CastNovaBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
CastProjectileBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
ChaosCastBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosCastCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosCommonCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosDamageCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosDashCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosDeathWeaponCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosDoorHealBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosElementalBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosExAttackCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosExSpeedBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosHarvestBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosHealthBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosHealthCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosHiddenRoomRewardCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosLastStandBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosManaBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosManaCostBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosManaFocusCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosManaOverTimeBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosMetaUpgradeCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosMoneyBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosNoMoneyCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosOmegaDamageBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosPrimaryAttackCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosRarityBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosRestrictBoonCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosSecondaryAttackCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosSpecialBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosSpeedBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosSpeedCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosStunCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosTimeCurse,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
ChaosWeaponBlessing,loot,TrialUpgrade,LootData_Chaos.lua,1.139672,24556151
CharmCrowdBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
CharmCrowdBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
CirceEnlargeTrait,unit,Eris,EnemyData_Eris.lua,1.139672,24556151
CirceEnlargeTrait,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
CirceEnlargeTrait,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
CirceEnlargeTrait,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
CirceEnlargeTrait,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
CirceEnlargeTrait,unit,NPC_Moros_01,NPCData_Moros.lua,1.139672,24556151
CirceEnlargeTrait,unit,Prometheus,EnemyData_Prometheus.lua,1.139672,24556151
CirceEnlargeTrait,unit,Zagreus,EnemyData_Zagreus.lua,1.139672,24556151
CirceShrinkTrait,unit,Eris,EnemyData_Eris.lua,1.139672,24556151
CirceShrinkTrait,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
CirceShrinkTrait,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
CirceShrinkTrait,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
CirceShrinkTrait,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
CirceShrinkTrait,unit,NPC_Moros_01,NPCData_Moros.lua,1.139672,24556151
CirceShrinkTrait,unit,Prometheus,EnemyData_Prometheus.lua,1.139672,24556151
CirceShrinkTrait,unit,Zagreus,EnemyData_Zagreus.lua,1.139672,24556151
CirceSorceryDamageBoon,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
ClearRootBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
ClearRootBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
CombatEncounterHealBoon,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
CommonGlobalDamageBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
CoverRegenerationBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
CoverRegenerationBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
CritBonusBoon,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
DaggerAttackFinisherTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerBackstabTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerBlinkAoETrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerBlockAspect,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
DaggerChargeStageSkipTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerDashAttackTripleTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerFinalHitTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerHomingThrowAspect,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
DaggerHomingThrowAspect,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
DaggerRapidAttackTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerSpecialConsecutiveTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerSpecialFanTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerSpecialJumpTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerSpecialLineTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerSpecialReturnTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerTripleAspect,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
DaggerTripleAspect,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
DaggerTripleAspect,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
DaggerTripleBuffTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerTripleHomingSpecialTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DaggerTripleRepeatWomboTrait,loot,WeaponUpgrade,LootData.lua,1.139672,24556151
DamageSharePotencyBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
DamageShareRetaliateBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
DamagedDamageBoostKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
DamagedDamageBoostKeepsake,unit,NPC_Medea_01,NPCData_Medea.lua,1.139672,24556151
DashOmegaBuffBoon,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
DeathDefianceRefillBoon,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
DeathDefianceRetaliateCurse,unit,NPC_Medea_01,NPCData_Medea.lua,1.139672,24556151
DeathVengeanceKeepsake,unit,Eris,EnemyData_Eris.lua,1.139672,24556151
DeathVengeanceKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
DecayingBoostKeepsake,unit,NPC_Heracles_01,NPCData_Heracles.lua,1.139672,24556151
DecayingBoostKeepsake,unit,Prometheus,EnemyData_Prometheus.lua,1.139672,24556151
DemeterCastBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
DemeterManaBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
DemeterSpecialBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
DemeterSprintBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
DemeterWeaponBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
DiminishingDodgeBoon,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
DiminishingHealthAndManaBoon,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
DodgeChanceBoon,loot,HermesUpgrade,LootData_Hermes.lua,1.139672,24556151
DoorHealReserveKeepsake,unit,NPC_Dora_01,NPCData_Dora.lua,1.139672,24556151
DoorHealToFullBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
DoorRerollMetaUpgrade,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
DoubleBloodDropBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
DoubleBoltBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
DoubleExManaBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
DoubleFamiliarTrait,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
DoubleMassiveAttackBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
DoubleMassiveAttackBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
DoubleRewardBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
DoubleSplashBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
DoubleSplashBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
DoubleStrikeChanceBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
DoubleSwordBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
DoubleSwordBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
EchoBurnBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
EchoBurnBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
EchoDeathDefianceRefill,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
EchoDoubleLevelBoon,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
EchoDoubleShop,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
EchoExpirationBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
EchoLastReward,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
EchoLastRunBoon,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
EchoRepeatKeepsakeBoon,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
ElementalBaseDamageBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
ElementalDamageBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
ElementalDamageCapBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
ElementalDamageFloorBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
ElementalDodgeBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
ElementalHealthBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
ElementalOlympianDamageBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
ElementalRallyBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ElementalRarityUpgradeBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
ElementalUnifiedBoon,loot,HermesUpgrade,LootData_Hermes.lua,1.139672,24556151
EncounterStartDefenseBuffBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
EncounterStartOffenseBuffBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
EscalatingCostume,unit,NPC_Arachne_01,NPCData_Arachne.lua,1.139672,24556151
EscalatingKeepsake,unit,Eris,EnemyData_Eris.lua,1.139672,24556151
EscalatingKeepsake,unit,Hecate,EnemyData_Hecate.lua,1.139672,24556151
EscalatingKeepsake,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
ExPolymorphBoon,unit,NPC_Circe_01,NPCData_Circe.lua,1.139672,24556151
ExtendedShopTrait,store,RoomShop,StoreData.lua,1.139672,24556151
FireballManaSpecialBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
FireballRendBoon,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
FireballRendBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
FirstHangoverBoon,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
FirstHitHealTrait,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
FirstHitHealTrait,store,RoomShop,StoreData.lua,1.139672,24556151
FocusAttackDamageTrait,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
FocusCritBoon,unit,NPC_Artemis_Field_01,NPCData_Artemis.lua,1.139672,24556151
FocusDamageShaveBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
FocusLastStandBoon,unit,NPC_Athena_01,NPCData_Athena.lua,1.139672,24556151
FocusLightningBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
FocusRawDamageBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
FocusSpecialDamageTrait,unit,NPC_Icarus_01,NPCData_Icarus.lua,1.139672,24556151
FogDamageBonusBoon,unit,NPC_Dionysus_01,NPCData_Dionysus.lua,1.139672,24556151
ForceAphroditeBoonKeepsake,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
ForceApolloBoonKeepsake,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ForceApolloBoonKeepsake,loot,HermesUpgrade,LootData_Hermes.lua,1.139672,24556151
ForceAresBoonKeepsake,loot,AresUpgrade,LootData_Ares.lua,1.139672,24556151
ForceDemeterBoonKeepsake,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
ForceHephaestusBoonKeepsake,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
ForceHeraBoonKeepsake,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
ForceHestiaBoonKeepsake,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
ForcePoseidonBoonKeepsake,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
ForceZeusBoonKeepsake,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
ForceZeusBoonKeepsake,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
FountainRarityKeepsake,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
FountainRarityKeepsake,unit,NPC_Narcissus_01,NPCData_Narcissus.lua,1.139672,24556151
GoldifyKeepsake,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
GoldifyKeepsake,unit,NPC_Chronos_02,NPCData_Chronos.lua,1.139672,24556151
GoodStuffBoon,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
GoodStuffBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
HadesAndPersephoneKeepsake,loot,DemeterUpgrade,LootData_Demeter.lua,1.139672,24556151
HadesAndPersephoneKeepsake,unit,NPC_Echo_01,NPCData_Echo.lua,1.139672,24556151
HadesAndPersephoneKeepsake,unit,NPC_Hades_Field_01,NPCData_Hades.lua,1.139672,24556151
HadesCastProjectileBoon,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
HadesCastProjectileBoon,unit,NPC_Hades_Field_01,NPCData_Hades.lua,1.139672,24556151
HadesChronosDebuffBoon,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
HadesChronosDebuffBoon,unit,NPC_Hades_Field_01,NPCData_Hades.lua,1.139672,24556151
HadesDashSweepBoon,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
HadesDashSweepBoon,unit,NPC_Hades_Field_01,NPCData_Hades.lua,1.139672,24556151
HadesDeathDefianceDamageBoon,unit,Chronos,EnemyData_Chronos.lua,1.139672,24556151
