source_table,source_id,item_id,occurrences,source_file,game_version,steam_build
RewardStoreData,SubRoomRewardsHard,RoomMoneyDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewardsHard,StackUpgrade,2,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,Boon,3,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,Devotion,1,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,RoomMoneyTripleDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,StackUpgradeTriple,1,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,TalentBigDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,TartarusRewards,WeaponUpgrade,2,LootData.lua,1.139672,24556151
RewardStoreData,TyphonBossRewards,Boon,2,LootData.lua,1.139672,24556151
RewardStoreData,TyphonBossRewards,StackUpgradeTriple,1,LootData.lua,1.139672,24556151
RewardStoreData,TyphonBossRewards,TalentBigDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,TyphonBossRewards,WeaponUpgrade,2,LootData.lua,1.139672,24556151
StoreData,I_WorldShop,ArmorBigBoost,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,ArmorBoost,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,BlindBoxLoot,2,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,BoostedRandomLoot,2,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,CardUpgradePointsDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,ChaosWeaponUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,CharonPointsDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,ElementalBoost,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,HealBigDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,LastStandDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,MaxHealthDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,MaxHealthDropBig,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,MaxManaDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,MaxManaDropBig,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,RandomLoot,3,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,RoomRewardHealDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,ShopHermesUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,SpellDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,StackUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,StackUpgradeBig,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,TalentDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,WeaponPointsRareDrop,1,StoreData.lua,1.139672,24556151
StoreData,I_WorldShop,WeaponUpgradeDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,ArmorBigBoost,2,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,ArmorBoost,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,BlindBoxLoot,2,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,BoostedRandomLoot,2,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,CardUpgradePointsDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,ChaosWeaponUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,CharonPointsDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,ElementalBoost,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,HealBigDrop,2,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,LastStandDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,MaxHealthDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,MaxHealthDropBig,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,MaxManaDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,MaxManaDropBig,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,RandomLoot,4,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,RoomRewardHealDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,ShopHermesUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,SpellDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,StackUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,StackUpgradeBig,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,TalentDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,WeaponPointsRareDrop,1,StoreData.lua,1.139672,24556151
StoreData,Q_WorldShop,WeaponUpgradeDrop,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,ArmorBoostStore,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,DamageSelfDrop,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,EmptyMaxHealthShopItem,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,ExtendedShopTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,FirstHitHealTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,HealDropRange,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,LastStandShopItem,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,LimitedManaRegenDrop,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,LimitedSwapTraitDrop,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,MemPointsCommonRange,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,MetaCardPointsCommonRange,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,MetaCurrencyRange,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,RandomStoreItem,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,SeedMysteryRange,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryBoonRarityTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryDiscountTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryDoorHealTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryEmptySlotDamageTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryForcedSecretDoorTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryHealExpirationTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryImprovedCastTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryImprovedDefenseTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryImprovedExTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryImprovedSecondaryTrait,1,StoreData.lua,1.139672,24556151
StoreData,RoomShop,TemporaryMoveSpeedTrait,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,ArmorBigBoost,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,ArmorBoost,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,BlindBoxLoot,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,GiftDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,HealBigDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,LastStandDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,MaxHealthDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,MaxManaDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,RoomRewardHealDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,ShopHermesUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,SpellDrop,1,StoreData.lua,1.139672,24556151
StoreData,SurfaceShop,TalentDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,AirBoost,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,ArmorBoost,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,BlindBoxLoot,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,EarthBoost,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,FireBoost,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,GiftDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,MaxHealthDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,MaxManaDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,MetaCardPointsCommonDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,MetaCurrencyDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,RandomLoot,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,RoomRewardHealDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,ShopHermesUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,SpellDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,StackUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,StoreRewardRandomStack,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,TalentDrop,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,WaterBoost,1,StoreData.lua,1.139672,24556151
StoreData,WorldShop,WeaponUpgradeDrop,2,StoreData.lua,1.139672,24556151
StoreData,ZagPedestalOptions,BlindBoxLoot,1,StoreData.lua,1.139672,24556151
StoreData,ZagPedestalOptions,StackUpgrade,1,StoreData.lua,1.139672,24556151
StoreData,ZagPedestalOptions,StackUpgradeBig,1,StoreData.lua,1.139672,24556151
StoreData,ZagPedestalOptions,TalentBigDrop,1,StoreData.lua,1.139672,24556151
StoreData,ZagPedestalOptions,TalentDrop,1,StoreData.lua,1.139672,24556151
