table,entries,files,output,game_version,steam_build
EnemyData,412,AllyData.lua;EnemyData.lua;EnemyData_AutomatonBeamer.lua;EnemyData_AutomatonEnforcer.lua;EnemyData_BloodlessGrenadier.lua;EnemyData_BloodlessNaked.lua;EnemyData_Boar.lua;EnemyData_Brawler.lua;EnemyData_BrokenHearted.lua;EnemyData_Brute.lua;EnemyData_Captain.lua;EnemyData_Carrion.lua;EnemyData_Charybdis.lua;EnemyData_Chronos.lua;EnemyData_ClockworkHeavyMelee.lua;EnemyData_CorruptedShadeLarge.lua;EnemyData_CorruptedShadeMedium.lua;EnemyData_CorruptedShadeSmall.lua;EnemyData_Crawler.lua;EnemyData_DespairElemental.lua;EnemyData_Dragon.lua;EnemyData_DragonBurrower.lua;EnemyData_Drunk.lua;EnemyData_Eagle.lua;EnemyData_EarthElemental.lua;EnemyData_Eris.lua;EnemyData_Eyeball.lua;EnemyData_FishSwarmer.lua;EnemyData_FishmanMelee.lua;EnemyData_FishmanRanged.lua;EnemyData_FogEmitter.lua;EnemyData_GoldElemental.lua;EnemyData_Guard.lua;EnemyData_Harpy.lua;EnemyData_Hecate.lua;EnemyData_Heracles.lua;EnemyData_InfestedCerberus.lua;EnemyData_Jellyfish.lua;EnemyData_Lamia.lua;EnemyData_LightRanged.lua;EnemyData_Lovesick.lua;EnemyData_LycanSwarmer.lua;EnemyData_Lycanthrope.lua;EnemyData_Mage.lua;EnemyData_Mati.lua;EnemyData_Medea.lua;EnemyData_Mourner.lua;EnemyData_Mudman.lua;EnemyData_Octofish.lua;EnemyData_Pig.lua;EnemyData_Polyphemus.lua;EnemyData_Prometheus.lua;EnemyData_Radiator.lua;EnemyData_SatyrCrossbow.lua;EnemyData_SatyrCultist.lua;EnemyData_SatyrLancer.lua;EnemyData_SatyrRatCatcher.lua;EnemyData_SatyrSapper.lua;EnemyData_Scimiterror.lua;EnemyData_Screamer.lua;EnemyData_Scylla.lua;EnemyData_SentryBot.lua;EnemyData_Sheep.lua;EnemyData_SiegeVine.lua;EnemyData_Simple.lua;EnemyData_SirenDrummer.lua;EnemyData_SirenKeytarist.lua;EnemyData_Stalker.lua;EnemyData_Stickler.lua;EnemyData_Swab.lua;EnemyData_Swarmer.lua;EnemyData_Talos.lua;EnemyData_Template.lua;EnemyData_TimeElemental.lua;EnemyData_Traps.lua;EnemyData_Treant.lua;EnemyData_Turtle.lua;EnemyData_TyphonArm.lua;EnemyData_TyphonEye.lua;EnemyData_TyphonHead.lua;EnemyData_TyphonHeadAdd.lua;EnemyData_TyphonTail.lua;EnemyData_Vampire.lua;EnemyData_WaterElemental.lua;EnemyData_WaterUnit.lua;EnemyData_Wisp.lua;EnemyData_Wringer.lua;EnemyData_Zagreus.lua;EnemyData_ZombieAssassin.lua;EnemyData_ZombieHeavyRanged.lua;EnemyData_ZombieSpawner.lua;NPCData.lua;NPCData_Arachne.lua;NPCData_Artemis.lua;NPCData_Athena.lua;NPCData_Charon.lua;NPCData_Chronos.lua;NPCData_Circe.lua;NPCData_Dionysus.lua;NPCData_Dora.lua;NPCData_Echo.lua;NPCData_Eris.lua;NPCData_Hades.lua;NPCData_Hecate.lua;NPCData_Heracles.lua;NPCData_Hermes.lua;NPCData_Hypnos.lua;NPCData_Icarus.lua;NPCData_Medea.lua;NPCData_Moros.lua;NPCData_Narcissus.lua;NPCData_Odysseus.lua;NPCData_Selene.lua,other_data.csv,1.139672,24556151
EnemySets,41,EnemySets.lua,other_data.csv,1.139672,24556151
ExorcismData,7,HarvestData.lua,other_data.csv,1.139672,24556151
FamiliarData,6,FamiliarData.lua,units.csv,1.139672,24556151
FamiliarShopItemData,50,FamiliarShopData.lua,other_data.csv,1.139672,24556151
FatedDisableKeepsakes,10,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
FatedDisableMetaUpgrades,3,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
FatedEnableKeepsakes,3,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
FishingData,10,HarvestData.lua,progression.csv,1.139672,24556151
GameData,60,NarrativeData.lua;RunClearData.lua,other_data.csv,1.139672,24556151
GameOutroData,69,HeroData.lua,other_data.csv,1.139672,24556151
GamePhaseData,5,GamePhaseData.lua,other_data.csv,1.139672,24556151
GardenData,3,GardenData.lua,progression.csv,1.139672,24556151
GhostData,12,GhostData.lua,other_data.csv,1.139672,24556151
GiftData,34,KeepsakeData.lua,other_data.csv,1.139672,24556151
GlobalModifiers,2,HeroData.lua,other_data.csv,1.139672,24556151
GlobalVoiceLines,32,AudioData.lua;BountyData.lua;CombatPresentation.lua;DeathLoopData.lua;EnemyData_Chronos.lua;EnemyData_Eris.lua;EnemyData_Hecate.lua;EnemyData_Polyphemus.lua;EnemyData_Prometheus.lua;EnemyData_Scylla.lua;EnemyData_TyphonHead.lua;EnemyData_Zagreus.lua;FlashbackPresentation.lua;GhostAdminData.lua;HarvestData.lua;HubPresentation.lua;KeepsakeData.lua;LootData.lua;LootData_Chaos.lua;MailboxData.lua;MarketData.lua;MetaUpgradeCardScreenData.lua;NPCData.lua;NPCData_Arachne.lua;NPCData_Artemis.lua;NPCData_Athena.lua;NPCData_Charon.lua;NPCData_Chronos.lua;NPCData_Circe.lua;NPCData_Dionysus.lua;NPCData_Dora.lua;NPCData_Echo.lua;NPCData_Hades.lua;NPCData_Heracles.lua;NPCData_Hermes.lua;NPCData_Hypnos.lua;NPCData_Icarus.lua;NPCData_Medea.lua;NPCData_Moros.lua;NPCData_Narcissus.lua;NPCData_Nemesis.lua;NPCData_Odysseus.lua;NPCData_Selene.lua;NPCData_Skelly.lua;PresentationBiomeG.lua;PresentationBiomeH.lua;PresentationBiomeI.lua;ShrineData.lua;WeaponShopData.lua,other_data.csv,1.139672,24556151
HarvestData,3,HarvestData.lua,progression.csv,1.139672,24556151
HealthUI,4,UIData.lua,other_data.csv,1.139672,24556151
HeroData,83,HeroData.lua,other_data.csv,1.139672,24556151
HeroRepeatableTextLines,1,HeroData.lua,other_data.csv,1.139672,24556151
HeroVoiceLines,169,HeroData.lua,other_data.csv,1.139672,24556151
HubRoomData,6,DeathLoopData.lua,other_data.csv,1.139672,24556151
IconData,306,UIData.lua,ui.csv,1.139672,24556151
IntroWaveOverrideValues,8,EncounterData.lua,other_data.csv,1.139672,24556151
LinkedTraitData,26,TraitData.lua,other_data.csv,1.139672,24556151
LootData,19,LootData.lua;LootData_Aphrodite.lua;LootData_Apollo.lua;LootData_Ares.lua;LootData_Chaos.lua;LootData_Demeter.lua;LootData_Hephaestus.lua;LootData_Hera.lua;LootData_Hermes.lua;LootData_Hestia.lua;LootData_Poseidon.lua;LootData_Selene.lua;LootData_Zeus.lua,loot.csv,1.139672,24556151
LootSetData,19,LootData.lua;LootData_Aphrodite.lua;LootData_Apollo.lua;LootData_Ares.lua;LootData_Chaos.lua;LootData_Demeter.lua;LootData_Hephaestus.lua;LootData_Hera.lua;LootData_Hermes.lua;LootData_Hestia.lua;LootData_Poseidon.lua;LootData_Selene.lua;LootData_Zeus.lua,loot.csv,1.139672,24556151
ManaGatherAnimations,2,ManaData.lua,other_data.csv,1.139672,24556151
ManaIndicatorPresentation,6,ManaData.lua,other_data.csv,1.139672,24556151
MaterialDefaults,25,ObstacleData.lua,other_data.csv,1.139672,24556151
MetaRewardStandData,1,LootData.lua,other_data.csv,1.139672,24556151
MetaUpgradeCardData,27,MetaUpgradeData.lua,progression.csv,1.139672,24556151
MetaUpgradeCardRarityIcons,3,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
MetaUpgradeCostData,2,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
MetaUpgradeData,18,MetaUpgradeData.lua,progression.csv,1.139672,24556151
MetaUpgradeLockOrder,3,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
MetaUpgradeSaveLayoutData,2,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
MoneyUI,4,HUDData.lua,other_data.csv,1.139672,24556151
MusicMarkerData,47,MusicData.lua,other_data.csv,1.139672,24556151
MusicTrackData,8,MusicData.lua,other_data.csv,1.139672,24556151
NPCVariantData,11,NPCData_Eris.lua;NPCData_Heracles.lua;NPCData_Icarus.lua;NPCData_Nemesis.lua,units.csv,1.139672,24556151
NamedRequirementsData,179,RequirementsData.lua,requirements.csv,1.139672,24556151
NarrativeConstantData,1,NarrativeData.lua,other_data.csv,1.139672,24556151
NarrativeData,69,NarrativeData.lua,other_data.csv,1.139672,24556151
NextRoomSets,7,RoomSets.lua,other_data.csv,1.139672,24556151
ObjectiveData,65,ObjectiveData.lua,progression.csv,1.139672,24556151
ObjectiveSetData,59,ObjectiveData.lua,progression.csv,1.139672,24556151
ObstacleData,411,ObstacleData.lua;ObstacleDataG.lua;ObstacleDataH.lua;ObstacleDataI.lua;ObstacleDataN.lua;ObstacleDataO.lua;ObstacleDataP.lua;ObstacleDataQ.lua,other_data.csv,1.139672,24556151
PercentFormatNamesLookup,9,UIData.lua,other_data.csv,1.139672,24556151
PickaxePointData,7,HarvestData.lua,other_data.csv,1.139672,24556151
Pickle,1,SaveLogic.lua,other_data.csv,1.139672,24556151
PolymorphPresentationData,4,CombatPresentation.lua,other_data.csv,1.139672,24556151
PresetAudioArgs,2,AudioData.lua,other_data.csv,1.139672,24556151
PresetEventArgs,69,NPCData.lua,other_data.csv,1.139672,24556151
ProjectileData,700,ProjectileData.lua;ProjectileData_EnemyB.lua;ProjectileData_EnemyF.lua;ProjectileData_EnemyG.lua;ProjectileData_EnemyH.lua;ProjectileData_EnemyI.lua;ProjectileData_EnemyN.lua;ProjectileData_EnemyO.lua;ProjectileData_EnemyP.lua;ProjectileData_Familiar.lua;ProjectileData_Gods.lua;ProjectileData_Melinoe.lua;ProjectileData_NPC.lua;ProjectileData_Traps.lua,projectiles.csv,1.139672,24556151
ProjectileSetData,84,ProjectileData_EnemyQ.lua,projectiles.csv,1.139672,24556151
ProjectileThingPropertyNames,3,TraitData.lua,other_data.csv,1.139672,24556151
QuestData,99,QuestData.lua,progression.csv,1.139672,24556151
RerollCosts,6,MetaUpgradeData.lua,other_data.csv,1.139672,24556151
ResourceData,103,ResourceData.lua,resources.csv,1.139672,24556151
RewardData,2,RewardData.lua,other_data.csv,1.139672,24556151
RewardSets,4,RewardData.lua,other_data.csv,1.139672,24556151
RewardStoreData,13,LootData.lua,stores.csv,1.139672,24556151
RoomEventData,8,RoomData.lua,other_data.csv,1.139672,24556151
RoomSetData,334,RoomData.lua;RoomDataAnomaly.lua;RoomDataC.lua;RoomDataChaos.lua;RoomDataDream.lua;RoomDataF.lua;RoomDataG.lua;RoomDataH.lua;RoomDataI.lua;RoomDataN.lua;RoomDataO.lua;RoomDataP.lua;RoomDataQ.lua;RoomDataTest.lua,rooms.csv,1.139672,24556151
RoomSetIcons,9,RoomSets.lua,other_data.csv,1.139672,24556151
RoomSets,13,RoomSets.lua,other_data.csv,1.139672,24556151
RunResultData,10,RunHistoryData.lua,other_data.csv,1.139672,24556151
ScreenData,554,BoonInfoData.lua;BountyData.lua;CodexData.lua;CosmeticsData.lua;DebugData.lua;ElementalPromptScreenData.lua;FamiliarCostumeData.lua;FamiliarShopData.lua;GameStatsData.lua;HUDData.lua;KeepsakeData.lua;MailboxData.lua;MarketData.lua;MarketPromptScreenData.lua;MetaUpgradeCardPromptScreenData.lua;MetaUpgradeCardScreenData.lua;MetaUpgradeCardUpgradeScreenData.lua;MusicPlayerData.lua;NarrativeData.lua;QuestData.lua;ResourceData.lua;RunClearData.lua;RunHistoryData.lua;SellTraitData.lua;ShrineData.lua;SpellScreenData.lua;StoreData.lua;StoryResetData.lua;SurfaceShopData.lua;TalentScreenData.lua;TradeData.lua;TraitTrayData.lua;UpgradeChoiceData.lua;WeaponShopData.lua;WeaponUpgradeData.lua,ui.csv,1.139672,24556151
SellTraitData,4,SellTraitData.lua,other_data.csv,1.139672,24556151
ShopUI,4,UIData.lua,other_data.csv,1.139672,24556151
ShovelPointData,8,HarvestData.lua,other_data.csv,1.139672,24556151
SpellChargeData,2,SpellData.lua,other_data.csv,1.139672,24556151
SpellData,9,SpellData.lua,progression.csv,1.139672,24556151
SpellDisplayData,2,SpellData.lua,other_data.csv,1.139672,24556151
SpellTalentData,10,SpellData.lua,other_data.csv,1.139672,24556151
StatusAnimations,2,EnemyData.lua,other_data.csv,1.139672,24556151
StoreData,7,StoreData.lua,stores.csv,1.139672,24556151
StoryResetData,5,StoryResetData.lua,other_data.csv,1.139672,24556151
SurfaceShopData,4,SurfaceShopData.lua,stores.csv,1.139672,24556151
TextFormats,109,UIData.lua,other_data.csv,1.139672,24556151
TraitData,670,BiomeStateData.lua;FamiliarData.lua;TraitData.lua;TraitData_Aphrodite.lua;TraitData_Apollo.lua;TraitData_Arachne.lua;TraitData_Ares.lua;TraitData_Artemis.lua;TraitData_Aspect.lua;TraitData_Athena.lua;TraitData_Axe.lua;TraitData_Chaos.lua;TraitData_Circe.lua;TraitData_Dagger.lua;TraitData_Demeter.lua;TraitData_Dionysus.lua;TraitData_Duo.lua;TraitData_Echo.lua;TraitData_Elementals.lua;TraitData_Essence.lua;TraitData_Hades.lua;TraitData_Hephaestus.lua;TraitData_Hera.lua;TraitData_Hermes.lua;TraitData_Hestia.lua;TraitData_Icarus.lua;TraitData_Keepsake.lua;TraitData_Lob.lua;TraitData_Medea.lua;TraitData_MetaUpgrade.lua;TraitData_Narcissus.lua;TraitData_Poseidon.lua;TraitData_Spell.lua;TraitData_Staff.lua;TraitData_Store.lua;TraitData_Suit.lua;TraitData_Talent.lua;TraitData_Torch.lua;TraitData_Zeus.lua,traits.csv,1.139672,24556151
TraitElementData,5,TraitData.lua,other_data.csv,1.139672,24556151
TraitMainWeaponSlots,2,TraitData.lua,other_data.csv,1.139672,24556151
TraitMultiplierData,2,TraitData.lua,other_data.csv,1.139672,24556151
TraitRarityData,12,TraitData.lua,other_data.csv,1.139672,24556151
TraitRequirements,78,TraitData.lua,other_data.csv,1.139672,24556151
TraitSetData,298,BiomeStateData.lua;FamiliarData.lua;TraitData.lua;TraitData_Aspect.lua;TraitData_Chaos.lua;TraitData_Essence.lua;TraitData_Keepsake.lua;TraitData_MetaUpgrade.lua;TraitData_Store.lua;TraitData_Talent.lua,traits.csv,1.139672,24556151
UIData,37,ShrineData.lua;UIData.lua,ui.csv,1.139672,24556151
UnitSetData,419,AllyData.lua;EnemyData.lua;EnemyData_AutomatonBeamer.lua;EnemyData_AutomatonEnforcer.lua;EnemyData_BloodlessGrenadier.lua;EnemyData_BloodlessNaked.lua;EnemyData_Boar.lua;EnemyData_Brawler.lua;EnemyData_BrokenHearted.lua;EnemyData_Brute.lua;EnemyData_Captain.lua;EnemyData_Carrion.lua;EnemyData_Charybdis.lua;EnemyData_Chronos.lua;EnemyData_ClockworkHeavyMelee.lua;EnemyData_CorruptedShadeLarge.lua;EnemyData_CorruptedShadeMedium.lua;EnemyData_CorruptedShadeSmall.lua;EnemyData_Crawler.lua;EnemyData_DespairElemental.lua;EnemyData_Dragon.lua;EnemyData_DragonBurrower.lua;EnemyData_Drunk.lua;EnemyData_Eagle.lua;EnemyData_EarthElemental.lua;EnemyData_Eris.lua;EnemyData_Eyeball.lua;EnemyData_FishSwarmer.lua;EnemyData_FishmanMelee.lua;EnemyData_FishmanRanged.lua;EnemyData_FogEmitter.lua;EnemyData_GoldElemental.lua;EnemyData_Guard.lua;EnemyData_Harpy.lua;EnemyData_Hecate.lua;EnemyData_Heracles.lua;EnemyData_InfestedCerberus.lua;EnemyData_Jellyfish.lua;EnemyData_Lamia.lua;EnemyData_LightRanged.lua;EnemyData_Lovesick.lua;EnemyData_LycanSwarmer.lua;EnemyData_Lycanthrope.lua;EnemyData_Mage.lua;EnemyData_Mati.lua;EnemyData_Medea.lua;EnemyData_Mourner.lua;EnemyData_Mudman.lua;EnemyData_Octofish.lua;EnemyData_Pig.lua;EnemyData_Polyphemus.lua;EnemyData_Prometheus.lua;EnemyData_Radiator.lua;EnemyData_SatyrCrossbow.lua;EnemyData_SatyrCultist.lua;EnemyData_SatyrLancer.lua;EnemyData_SatyrRatCatcher.lua;EnemyData_SatyrSapper.lua;EnemyData_Scimiterror.lua;EnemyData_Screamer.lua;EnemyData_Scylla.lua;EnemyData_SentryBot.lua;EnemyData_Sheep.lua;EnemyData_SiegeVine.lua;EnemyData_Simple.lua;EnemyData_SirenDrummer.lua;EnemyData_SirenKeytarist.lua;EnemyData_Stalker.lua;EnemyData_Stickler.lua;EnemyData_Swab.lua;EnemyData_Swarmer.lua;EnemyData_Talos.lua;EnemyData_Template.lua;EnemyData_TimeElemental.lua;EnemyData_Traps.lua;EnemyData_Treant.lua;EnemyData_Turtle.lua;EnemyData_TyphonArm.lua;EnemyData_TyphonEye.lua;EnemyData_TyphonHead.lua;EnemyData_TyphonHeadAdd.lua;EnemyData_TyphonTail.lua;EnemyData_Vampire.lua;EnemyData_WaterElemental.lua;EnemyData_WaterUnit.lua;EnemyData_Wisp.lua;EnemyData_Wringer.lua;EnemyData_Zagreus.lua;EnemyData_Zombie.lua;EnemyData_ZombieAssassin.lua;EnemyData_ZombieHeavyRanged.lua;EnemyData_ZombieSpawner.lua;NPCData.lua;NPCData_Arachne.lua;NPCData_Artemis.lua;NPCData_Athena.lua;NPCData_Charon.lua;NPCData_Chronos.lua;NPCData_Circe.lua;NPCData_Dionysus.lua;NPCData_Dora.lua;NPCData_Echo.lua;NPCData_Eris.lua;NPCData_Hades.lua;NPCData_Hecate.lua;NPCData_Heracles.lua;NPCData_Hermes.lua;NPCData_Hypnos.lua;NPCData_Icarus.lua;NPCData_Medea.lua;NPCData_Moros.lua;NPCData_Narcissus.lua;NPCData_Odysseus.lua;NPCData_Selene.lua,units.csv,1.139672,24556151
UnitSets,1,WeaponSets.lua,other_data.csv,1.139672,24556151
UserDebugEquip,5,DebugData.lua,other_data.csv,1.139672,24556151
VariantSetData,11,NPCData_Eris.lua;NPCData_Heracles.lua;NPCData_Icarus.lua;NPCData_Nemesis.lua,units.csv,1.139672,24556151
WeaponData,71,WeaponData.lua;WeaponData_Axe.lua;WeaponData_Dagger.lua;WeaponData_Lob.lua;WeaponData_Staff.lua;WeaponData_Suit.lua;WeaponData_Torch.lua,weapons.csv,1.139672,24556151
WeaponDataAllies,20,WeaponDataAllies.lua,other_data.csv,1.139672,24556151
WeaponEffectData,9,EffectData.lua,other_data.csv,1.139672,24556151
WeaponSetData,1065,EnemyData_Boar.lua;EnemyData_Brawler.lua;EnemyData_Brute.lua;EnemyData_Captain.lua;EnemyData_DragonBurrower.lua;EnemyData_EarthElemental.lua;EnemyData_Eyeball.lua;EnemyData_Heracles.lua;EnemyData_Jellyfish.lua;EnemyData_Mati.lua;EnemyData_Octofish.lua;EnemyData_Pig.lua;EnemyData_Simple.lua;EnemyData_Stalker.lua;EnemyData_TyphonArm.lua;EnemyData_TyphonEye.lua;EnemyData_TyphonHead.lua;EnemyData_TyphonHeadAdd.lua;EnemyData_TyphonTail.lua;EnemyData_Wisp.lua;EnemyData_Wringer.lua;WeaponDataEnemies.lua;WeaponData_Automaton.lua;WeaponData_Bloodless.lua;WeaponData_BrokenHearted.lua;WeaponData_Carrion.lua;WeaponData_Charybdis.lua;WeaponData_Chronos.lua;WeaponData_Corrupted.lua;WeaponData_Crawler.lua;WeaponData_Devotion.lua;WeaponData_Dragon.lua;WeaponData_Drunk.lua;WeaponData_Eagle.lua;WeaponData_Elemental.lua;WeaponData_Eris.lua;WeaponData_FishSwarmer.lua;WeaponData_Fishman.lua;WeaponData_FogEmitter.lua;WeaponData_Guard.lua;WeaponData_Harpy.lua;WeaponData_Hecate.lua;WeaponData_InfestedCerberus.lua;WeaponData_Lamia.lua;WeaponData_LightRanged.lua;WeaponData_Lovesick.lua;WeaponData_Lycan.lua;WeaponData_Mage.lua;WeaponData_Medea.lua;WeaponData_Mourner.lua;WeaponData_Mudman.lua;WeaponData_Polyphemus.lua;WeaponData_Prometheus.lua;WeaponData_Radiator.lua;WeaponData_Satyr.lua;WeaponData_Scimiterror.lua;WeaponData_Screamer.lua;WeaponData_Scylla.lua;WeaponData_Sheep.lua;WeaponData_SiegeVines.lua;WeaponData_Siren.lua;WeaponData_Stickler.lua;WeaponData_Swab.lua;WeaponData_Swarmer.lua;WeaponData_Talos.lua;WeaponData_Thug.lua;WeaponData_Traps.lua;WeaponData_Treant.lua;WeaponData_Turtle.lua;WeaponData_Vampire.lua;WeaponData_WaterElemental.lua;WeaponData_WaterUnit.lua;WeaponData_Zagreus.lua;WeaponData_Zombie.lua,weapons.csv,1.139672,24556151
WeaponSets,30,WeaponSets.lua,other_data.csv,1.139672,24556151
WeaponShopItemData,129,WeaponShopData.lua,stores.csv,1.139672,24556151
WorldUpgradeData,368,CosmeticsData.lua;FamiliarCostumeData.lua;MusicPlayerData.lua;WorldUpgradeData.lua,progression.csv,1.139672,24556151
